"employees","salary","annual_salary_adjustments","salary_2018","raise"
"Employee 1",48360.2924179286,1913.48728490993,50273.7797028385,TRUE
"Employee 2",46195.0966459699,-13.2024101912975,46181.8942357786,FALSE
"Employee 3",48117.9959885776,7084.20984214172,55202.2058307193,TRUE
"Employee 4",43109.1760843992,-2220.01726506278,40889.1588193364,FALSE
"Employee 5",44711.0865800641,-3975.26918095537,40735.8173991088,FALSE
"Employee 6",41673.3547742479,8007.03418790363,49680.3889621515,TRUE
"Employee 7",47871.2297976017,-3731.46612197161,44139.7636756301,FALSE
"Employee 8",43219.0884300508,9880.45906065963,53099.5474907104,TRUE
"Employee 9",46069.5471987128,-1460.96281823702,44608.5843804758,FALSE
"Employee 10",48197.6962694898,6635.23032795638,54832.9265974462,TRUE
"Employee 11",40364.6806743927,7745.19913364202,48109.8798080347,TRUE
"Employee 12",42248.0428079143,8978.58756943606,51226.6303773504,TRUE
"Employee 13",48115.8480863087,4087.94224145822,52203.7903277669,TRUE
"Employee 14",42340.9516247921,2486.0595818609,44827.011206653,TRUE
"Employee 15",49756.8825772032,156.131403055042,49913.0139802583,TRUE
"Employee 16",43213.4655327536,7289.1246387735,50502.5901715271,TRUE
"Employee 17",47717.6103624515,6337.48892578296,54055.0992882345,TRUE
"Employee 18",47250.2852673642,6548.02653356455,53798.3118009288,TRUE
"Employee 19",43015.9723013639,-685.73517142795,42330.237129936,FALSE
"Employee 20",49973.4927364625,5347.45014389046,55320.942880353,TRUE
"Employee 21",44748.5626279376,-2899.86761636101,41848.6950115766,FALSE
"Employee 22",41341.4635672234,-4486.40109039843,36855.062476825,FALSE
"Employee 23",43144.3104939535,-3841.42050752416,39302.8899864294,FALSE
"Employee 24",43971.9290821813,1272.52246835269,45244.451550534,TRUE
"Employee 25",49225.2039839514,6893.17497075535,56118.3789547067,TRUE
"Employee 26",42955.5201693438,-529.438664671034,42426.0815046728,FALSE
"Employee 27",40710.1954915561,-1054.36060694046,39655.8348846156,FALSE
"Employee 28",47505.2964128554,7507.99264991656,55013.2890627719,TRUE
"Employee 29",48161.5578942001,6822.52212427557,54984.0800184757,TRUE
"Employee 30",49963.3417930454,8343.85478170589,58307.1965747513,TRUE
"Employee 31",42967.1022901312,9002.75325984694,51969.8555499781,TRUE
"Employee 32",44262.6407230273,6090.15693538822,50352.7976584155,TRUE
"Employee 33",49027.4603129365,5048.28600445762,54075.7463173941,TRUE
"Employee 34",46093.3979554102,-4941.9428454712,41151.455109939,FALSE
"Employee 35",46154.7168507241,-3127.02321331017,43027.6936374139,FALSE
"Employee 36",47115.1974308304,6948.19162832573,54063.3890591562,TRUE
